loan_size,APR,income,principal_paid,interest_paid,loan_term,status,issue_date
10000.0,  6.03%,60000.0,10000.0,282.67, 36 months,Fully Paid,Dec-2011
11000.0,  6.62%,70000.0,11000.0,1157.38, 36 months,Fully Paid,Dec-2011
15000.0,  9.91%,80000.0,13556.45,2374.34, 36 months,Charged Off,Dec-2011
25600.0,  9.91%,110000.0,25600.0,4095.62, 36 months,Fully Paid,Dec-2011
7000.0, 10.65%,40000.0,7000.0,1205.47, 36 months,Fully Paid,Dec-2011
12000.0, 15.96%,50000.0,1903.66,1039.35, 36 months,Charged Off,Dec-2011
12000.0,  9.91%,46000.0,12000.0,1748.21, 36 months,Fully Paid,Dec-2011
21000.0, 19.91%,50000.0,8990.81,9328.33, 60 months,Charged Off,Dec-2011
16000.0, 19.91%,81000.0,16000.0,4876.1, 60 months,Fully Paid,Dec-2011
10000.0, 12.42%,39000.0,10000.0,1474.76, 36 months,Fully Paid,Dec-2011
10000.0, 10.65%,51400.0,10000.0,575.94, 36 months,Fully Paid,Dec-2011
7100.0, 16.77%,33000.0,7100.0,1979.33, 36 months,Fully Paid,Dec-2011
13000.0, 12.69%,30000.0,13000.0,4402.24, 60 months,Fully Paid,Dec-2011
17500.0, 17.27%,40000.0,6487.75,4225.77, 60 months,Current,Dec-2011
17675.0, 14.65%,50000.0,17675.0,3648.43, 60 months,Fully Paid,Dec-2011
8000.0, 16.77%,62000.0,8000.0,2252.27, 36 months,Fully Paid,Dec-2011
10000.0, 10.65%,45996.0,5495.38,2429.23, 60 months,Charged Off,Dec-2011
3500.0, 10.65%,55000.0,3500.0,603.17, 36 months,Fully Paid,Dec-2011
12500.0, 17.27%,30000.0,2812.82,2742.43, 60 months,Charged Off,Dec-2011
16425.0, 14.27%,44544.0,16425.0,1747.71, 36 months,Fully Paid,Dec-2011
8200.0, 21.28%,75000.0,1525.83,2265.85, 60 months,Charged Off,Dec-2011
15000.0, 14.65%,61000.0,15000.0,3562.4, 36 months,Fully Paid,Dec-2011
20975.0, 17.58%,44000.0,13575.0,4522.34, 60 months,Fully Paid,Dec-2011
6400.0, 16.77%,75000.0,3334.25,1431.91, 36 months,Charged Off,Dec-2011
3000.0, 13.49%,33600.0,3000.0,246.8, 36 months,Fully Paid,Dec-2011
12000.0, 16.77%,50000.0,12000.0,3346.47, 36 months,Fully Paid,Dec-2011
14400.0,  8.90%,150000.0,14400.0,2059.52, 36 months,Fully Paid,Dec-2011
12000.0, 14.65%,90000.0,12000.0,699.48, 36 months,Fully Paid,Dec-2011
11000.0, 13.49%,48000.0,11000.0,2413.22, 36 months,Fully Paid,Dec-2011
7250.0, 21.67%,75000.0,7200.0,1001.53, 60 months,Fully Paid,Dec-2011
15000.0,  7.90%,52000.0,15000.0,557.64, 36 months,Fully Paid,Dec-2011
18000.0, 19.91%,65000.0,18000.0,8003.76, 60 months,Fully Paid,Dec-2011
35000.0, 17.27%,150000.0,22075.0,6796.92, 60 months,Fully Paid,Dec-2011
10000.0, 14.27%,68000.0,10000.0,671.62, 36 months,Fully Paid,Dec-2011
11800.0, 12.69%,42000.0,11800.0,2443.16, 36 months,Fully Paid,Dec-2011
4500.0,  6.03%,53000.0,4500.0,430.3, 36 months,Fully Paid,Dec-2011
7000.0, 12.69%,35000.0,7000.0,1449.39, 36 months,Fully Paid,Dec-2011
9200.0, 12.42%,60000.0,9200.0,1280.84, 36 months,Fully Paid,Dec-2011
14000.0, 17.27%,28000.0,10157.6,6619.44, 60 months,Current,Dec-2011
4500.0, 10.65%,42000.0,4500.0,407.8, 60 months,Fully Paid,Dec-2011
12000.0, 16.29%,88365.0,12000.0,2685.36, 36 months,Fully Paid,Dec-2011
12000.0, 13.49%,72000.0,12000.0,1985.68, 36 months,Fully Paid,Dec-2011
12000.0, 10.65%,62000.0,12000.0,779.62, 36 months,Fully Paid,Dec-2011
7000.0, 10.65%,43680.0,7000.0,687.73, 36 months,Fully Paid,Dec-2011
8200.0, 19.42%,120000.0,8200.0,3694.9, 60 months,Fully Paid,Dec-2011
10500.0, 12.69%,66000.0,10500.0,732.14, 36 months,Fully Paid,Dec-2011
7000.0, 11.71%,39120.0,7000.0,932.3, 36 months,Fully Paid,Dec-2011
15300.0, 22.06%,85000.0,10776.09,9519.71, 60 months,Current,Dec-2011
20000.0, 11.71%,47800.0,12800.0,2361.27, 60 months,Fully Paid,Dec-2011
17500.0, 17.27%,45000.0,3077.85,3473.25, 60 months,Charged Off,Dec-2011
3500.0,  6.03%,83000.0,3500.0,334.66, 36 months,Fully Paid,Dec-2011
6000.0, 12.69%,81000.0,4472.4,2022.71, 60 months,Current,Dec-2011
6200.0,  9.91%,25000.0,1700.79,493.16, 36 months,Charged Off,Dec-2011
16000.0, 17.58%,65000.0,11584.03,7713.92, 60 months,Current,Dec-2011
6000.0,  8.90%,28800.0,6000.0,857.17, 36 months,Fully Paid,Dec-2011
7200.0,  9.91%,135000.0,7200.0,1150.84, 36 months,Fully Paid,Dec-2011
9500.0,  8.90%,50000.0,9500.0,993.71, 36 months,Fully Paid,Dec-2011
18825.0, 16.77%,38000.0,8087.75,6786.71, 60 months,Charged Off,Dec-2011
24000.0, 10.65%,45000.0,24000.0,4140.93, 36 months,Fully Paid,Dec-2011
6000.0, 13.49%,80000.0,6000.0,1326.01, 36 months,Fully Paid,Dec-2011
6000.0, 13.49%,50000.0,6000.0,1325.54, 36 months,Fully Paid,Dec-2011
2100.0, 12.42%,30000.0,2100.0,422.49, 36 months,Fully Paid,Dec-2011
5500.0,  6.62%,110000.0,5500.0,577.88, 36 months,Fully Paid,Dec-2011
11000.0,  6.62%,45608.0,11000.0,1156.86, 36 months,Fully Paid,Dec-2011
26800.0, 20.89%,120000.0,26800.0,6087.69, 60 months,Fully Paid,Dec-2011
8000.0, 12.69%,35000.0,8000.0,999.1, 36 months,Fully Paid,Dec-2011
10000.0, 18.25%,75000.0,8320.22,3145.08, 36 months,Charged Off,Dec-2011
8000.0, 11.71%,35000.0,8000.0,1434.78, 36 months,Fully Paid,Dec-2011
10000.0,  8.90%,24000.0,10000.0,868.92, 36 months,Fully Paid,Dec-2011
12000.0, 11.71%,126000.0,12000.0,2182.3, 36 months,Fully Paid,Dec-2011
10000.0,  7.90%,43000.0,10000.0,1264.01, 36 months,Fully Paid,Dec-2011
12000.0,  9.91%,50000.0,12000.0,1920.03, 36 months,Fully Paid,Dec-2011
25000.0, 13.49%,67000.0,13833.2,8008.11, 60 months,Charged Off,Dec-2011
19750.0, 10.65%,45000.0,8590.58,2698.78, 36 months,Charged Off,Dec-2011
10000.0,  9.91%,31200.0,10000.0,904.24, 36 months,Fully Paid,Dec-2011
13650.0, 12.42%,66000.0,13650.0,2361.18, 36 months,Fully Paid,Dec-2011
28000.0, 19.91%,52000.0,4281.54,4759.37, 60 months,Charged Off,Dec-2011
18000.0,  7.90%,56964.0,18000.0,2275.34, 36 months,Fully Paid,Dec-2011
2500.0, 14.27%,49500.0,2500.0,29.9, 36 months,Fully Paid,Dec-2011
21000.0, 20.30%,70000.0,21000.0,6085.42, 60 months,Fully Paid,Dec-2011
35000.0,  8.90%,125000.0,35000.0,5006.55, 36 months,Fully Paid,Dec-2011
10000.0,  7.51%,33000.0,10000.0,1027.3, 36 months,Fully Paid,Dec-2011
7000.0, 12.69%,30000.0,7000.0,1452.26, 36 months,Fully Paid,Dec-2011
24000.0, 15.96%,90000.0,3813.57,2082.11, 36 months,Charged Off,Dec-2011
10625.0,  7.51%,23000.0,10625.0,1216.94, 36 months,Fully Paid,Dec-2011
5000.0, 14.65%,24000.0,5000.0,682.08, 36 months,Fully Paid,Dec-2011
8850.0,  6.62%,62000.0,8850.0,931.61, 36 months,Fully Paid,Dec-2011
6375.0,  7.51%,44000.0,6375.0,362.55, 36 months,Fully Paid,Dec-2011
6000.0, 11.71%,90000.0,6000.0,1041.29, 36 months,Fully Paid,Dec-2011
11100.0,  6.62%,41000.0,6516.79,976.85, 36 months,Charged Off,Dec-2011
10000.0, 12.69%,56000.0,10000.0,2727.43, 60 months,Fully Paid,Dec-2011
6200.0,  6.03%,26500.0,6200.0,593.07, 36 months,Fully Paid,Dec-2011
15000.0, 18.64%,54000.0,15000.0,4401.72, 36 months,Fully Paid,Dec-2011
4200.0, 11.71%,53000.0,4200.0,800.46, 36 months,Fully Paid,Dec-2011
14000.0, 14.27%,52800.0,14000.0,487.95, 36 months,Fully Paid,Dec-2011
8875.0,  7.51%,38000.0,8875.0,837.65, 36 months,Fully Paid,Dec-2011
13500.0,  9.91%,38000.0,13500.0,2157.94, 36 months,Fully Paid,Dec-2011
12000.0,  9.91%,42000.0,9011.72,1807.88, 36 months,Charged Off,Dec-2011
16000.0, 19.91%,55000.0,16000.0,6277.26, 60 months,Fully Paid,Dec-2011
21600.0, 19.42%,60000.0,21600.0,5980.75, 60 months,Fully Paid,Dec-2011
6000.0, 10.65%,87000.0,6000.0,999.43, 36 months,Fully Paid,Dec-2011
8450.0, 16.77%,25000.0,8450.0,3738.56, 60 months,Fully Paid,Dec-2011
20000.0, 13.49%,82000.0,20000.0,6397.31, 60 months,Fully Paid,Dec-2011
10000.0, 11.71%,60000.0,4293.91,1388.86, 36 months,Charged Off,Dec-2011
12000.0, 16.29%,80000.0,12000.0,2946.56, 36 months,Fully Paid,Dec-2011
13475.0, 13.49%,25000.0,3516.74,2682.15, 60 months,Charged Off,Dec-2011
7200.0, 12.42%,48000.0,7200.0,1462.16, 36 months,Fully Paid,Dec-2011
5600.0, 14.65%,85000.0,905.39,445.47, 36 months,Charged Off,Dec-2011
12000.0, 14.27%,57000.0,12000.0,2396.58, 36 months,Fully Paid,Dec-2011
8500.0,  6.03%,25000.0,8500.0,574.73, 36 months,Fully Paid,Dec-2011
8000.0,  9.91%,34000.0,8000.0,1279.81, 36 months,Fully Paid,Dec-2011
8000.0, 12.42%,40000.0,8000.0,1622.78, 36 months,Fully Paid,Dec-2011
16000.0, 15.27%,42656.4,16000.0,6394.08, 60 months,Fully Paid,Dec-2011
15000.0, 17.27%,44400.0,15000.0,2991.53, 36 months,Fully Paid,Dec-2011
10000.0,  9.91%,30000.0,10000.0,1386.43, 36 months,Fully Paid,Dec-2011
10000.0,  6.62%,70000.0,10000.0,902.91, 36 months,Fully Paid,Dec-2011
8000.0, 14.65%,28000.0,8000.0,636.82, 36 months,Fully Paid,Dec-2011
22000.0,  9.91%,50000.0,22000.0,3521.1, 36 months,Fully Paid,Dec-2011
6000.0, 14.27%,94800.0,6000.0,1215.05, 36 months,Fully Paid,Dec-2011
16000.0,  9.91%,40000.0,12138.89,4143.86, 60 months,Current,Dec-2011
2500.0,  7.51%,12000.0,1575.06,253.74, 36 months,Charged Off,Dec-2011
13500.0,  9.91%,36000.0,13500.0,2121.27, 36 months,Fully Paid,Dec-2011
25000.0, 12.42%,225000.0,25000.0,5071.73, 36 months,Fully Paid,Dec-2011
10000.0, 13.49%,45900.0,10000.0,2174.48, 36 months,Fully Paid,Dec-2011
2500.0, 13.49%,27200.0,2500.0,550.28, 36 months,Fully Paid,Dec-2011
7325.0, 12.69%,42000.0,7325.0,1519.7, 36 months,Fully Paid,Dec-2011
4000.0, 12.42%,135000.0,4000.0,337.11, 36 months,Fully Paid,Dec-2011
10000.0, 13.49%,65000.0,6799.56,2011.75, 36 months,Charged Off,Dec-2011
7750.0, 17.27%,24000.0,4935.39,1986.7, 36 months,Charged Off,Dec-2011
20000.0, 20.89%,70000.0,1318.27,3034.08, 60 months,Charged Off,Dec-2011
9600.0, 12.42%,65000.0,9600.0,1737.71, 36 months,Fully Paid,Dec-2011
21000.0, 11.71%,60000.0,2142.87,1565.37, 60 months,Charged Off,Dec-2011
14000.0, 10.65%,30000.0,14000.0,1200.08, 36 months,Fully Paid,Dec-2011
13350.0, 12.42%,43000.0,13350.0,2708.39, 36 months,Fully Paid,Dec-2011
15000.0, 16.77%,42000.0,8365.66,3923.4, 36 months,Charged Off,Dec-2011
15000.0, 17.27%,75000.0,6944.85,3238.39, 36 months,Charged Off,Dec-2011
11000.0, 13.49%,129000.0,8158.5,3960.88, 60 months,Current,Dec-2011
35000.0, 10.65%,168000.0,35000.0,3059.76, 36 months,Fully Paid,Dec-2011
9000.0, 10.65%,74000.0,9000.0,1552.79, 36 months,Fully Paid,Dec-2011
22475.0, 15.27%,52000.0,16512.33,9283.68, 60 months,Current,Dec-2011
16000.0, 12.69%,58500.0,9479.47,2778.95, 36 months,Charged Off,Dec-2011
13500.0, 12.69%,71000.0,13500.0,2801.55, 36 months,Fully Paid,Dec-2011
24000.0, 12.69%,75000.0,24000.0,4978.68, 36 months,Fully Paid,Dec-2011
12000.0, 10.65%,60000.0,12000.0,2070.4, 36 months,Fully Paid,Dec-2011
8400.0, 16.77%,87996.0,6104.36,3836.18, 60 months,Current,Dec-2011
28000.0, 17.58%,140000.0,28000.0,411.15, 60 months,Fully Paid,Dec-2011
14000.0,  6.62%,66000.0,14000.0,1450.08, 36 months,Fully Paid,Dec-2011
12000.0, 14.27%,70000.0,2534.26,1163.48, 36 months,Charged Off,Dec-2011
25000.0, 11.71%,100000.0,25000.0,4277.57, 36 months,Fully Paid,Dec-2011
9000.0, 12.69%,50000.0,9000.0,1867.21, 36 months,Fully Paid,Dec-2011
13250.0, 10.65%,35000.0,13250.0,2285.93, 36 months,Fully Paid,Dec-2011
20000.0, 13.49%,75000.0,20000.0,3861.58, 36 months,Fully Paid,Dec-2011
3000.0, 14.65%,71000.0,3000.0,723.94, 36 months,Fully Paid,Dec-2011
7350.0, 10.65%,48000.0,7350.0,1266.33, 36 months,Fully Paid,Dec-2011
11500.0, 15.27%,36000.0,11500.0,2900.5, 36 months,Fully Paid,Dec-2011
13650.0, 12.42%,86000.0,5810.73,1931.92, 36 months,Charged Off,Dec-2011
10500.0, 16.29%,30000.0,1414.89,807.27, 36 months,Charged Off,Dec-2011
12000.0,  9.91%,60000.0,12000.0,1919.41, 36 months,Fully Paid,Dec-2011
6000.0,  8.90%,34000.0,6000.0,857.26, 36 months,Fully Paid,Dec-2011
11500.0, 15.27%,44200.0,11500.0,2098.01, 36 months,Fully Paid,Dec-2011
7000.0, 12.42%,82000.0,7000.0,1290.73, 36 months,Fully Paid,Dec-2011
29500.0, 20.30%,83000.0,29500.0,16255.23, 60 months,Fully Paid,Dec-2011
2000.0, 15.27%,41000.0,2000.0,505.4, 36 months,Fully Paid,Dec-2011
11625.0, 13.49%,36000.0,11625.0,2571.27, 36 months,Fully Paid,Dec-2011
15075.0, 14.27%,35000.0,11609.04,3374.45, 36 months,Charged Off,Dec-2011
5300.0, 15.27%,30000.0,5300.0,1322.55, 36 months,Fully Paid,Dec-2011
8200.0,  6.62%,40000.0,8200.0,862.5, 36 months,Fully Paid,Dec-2011
12000.0, 12.42%,105000.0,12000.0,2431.98, 36 months,Fully Paid,Dec-2011
8650.0, 14.27%,45000.0,8650.0,2028.68, 36 months,Fully Paid,Dec-2011
21000.0, 17.27%,109000.0,8549.22,5567.96, 60 months,Current,Dec-2011
16000.0, 17.27%,50000.0,11613.1,7570.12, 60 months,Current,Dec-2011
12000.0, 12.42%,83000.0,12000.0,2432.31, 36 months,Fully Paid,Dec-2011
9500.0, 12.69%,52500.0,5366.65,1635.51, 36 months,Charged Off,Dec-2011
7400.0, 13.49%,25000.0,7400.0,1637.7, 36 months,Fully Paid,Dec-2011
14400.0, 13.49%,60000.0,14400.0,1053.51, 36 months,Fully Paid,Dec-2011
24250.0, 23.91%,120000.0,18100.0,4088.25, 60 months,Fully Paid,Dec-2011
7200.0,  7.90%,68000.0,6744.17,907.62, 36 months,Charged Off,Dec-2011
26000.0, 16.77%,53000.0,3946.3,4391.9, 60 months,Charged Off,Dec-2011
7000.0, 11.71%,69600.0,3452.36,1790.2, 60 months,Charged Off,Dec-2011
4000.0,  7.51%,65000.0,4000.0,182.25, 36 months,Fully Paid,Dec-2011
1500.0, 17.27%,144000.0,1500.0,21.6, 36 months,Fully Paid,Dec-2011
19600.0, 12.42%,75000.0,19600.0,2393.62, 36 months,Fully Paid,Dec-2011
2500.0, 11.71%,29000.0,2500.0,394.74, 36 months,Fully Paid,Dec-2011
10000.0, 12.69%,70000.0,4513.35,1505.13, 36 months,Charged Off,Dec-2011
10000.0,  6.62%,45000.0,10000.0,1051.52, 36 months,Fully Paid,Dec-2011
4225.0, 12.42%,55200.0,4225.0,856.02, 36 months,Fully Paid,Dec-2011
3500.0,  7.90%,61440.0,3500.0,442.08, 36 months,Fully Paid,Dec-2011
12000.0,  6.62%,56000.0,12000.0,1262.21, 36 months,Fully Paid,Dec-2011
16500.0,  8.90%,47000.0,16500.0,2356.76, 36 months,Fully Paid,Dec-2011
22000.0, 21.67%,55000.0,22000.01,3023.19, 60 months,Fully Paid,Dec-2011
12000.0, 14.65%,71000.0,12000.0,430.36, 36 months,Fully Paid,Dec-2011
15600.0, 12.69%,50000.0,11631.87,5262.21, 60 months,Current,Dec-2011
10800.0, 12.42%,135000.0,10800.0,2204.14, 36 months,Fully Paid,Dec-2011
14000.0, 12.42%,63000.0,14000.0,2789.07, 36 months,Fully Paid,Dec-2011
18825.0, 17.58%,44000.0,13625.93,9072.21, 60 months,Current,Dec-2011
6000.0, 13.49%,50000.0,6000.0,1325.3, 36 months,Fully Paid,Dec-2011
12000.0,  9.91%,80000.0,12000.0,1906.0, 36 months,Fully Paid,Dec-2011
10000.0, 12.42%,45000.0,10000.0,2025.47, 36 months,Fully Paid,Dec-2011
8000.0,  7.90%,78000.0,8000.0,846.24, 36 months,Fully Paid,Dec-2011
14125.0,  9.91%,33000.0,14125.0,1930.99, 36 months,Fully Paid,Dec-2011
14000.0, 12.69%,62800.0,14000.0,2897.18, 36 months,Fully Paid,Dec-2011
13200.0, 17.27%,26400.0,8975.0,1225.26, 60 months,Fully Paid,Dec-2011
4000.0, 19.03%,80000.0,4000.0,340.62, 36 months,Fully Paid,Dec-2011
4000.0, 12.69%,25000.0,1373.86,498.22, 36 months,Charged Off,Dec-2011
10500.0,  6.03%,65000.0,10500.0,1003.78, 36 months,Fully Paid,Dec-2011
5500.0,  7.90%,59000.0,5500.0,671.27, 36 months,Fully Paid,Dec-2011
7350.0, 11.71%,33000.0,7350.0,1375.63, 36 months,Fully Paid,Dec-2011
10000.0, 12.42%,39000.0,9635.96,1956.9, 36 months,Charged Off,Dec-2011
12000.0,  7.51%,42000.0,12000.0,1441.33, 36 months,Fully Paid,Dec-2011
5000.0, 11.71%,38004.0,5000.0,1534.43, 60 months,Fully Paid,Dec-2011
8000.0, 11.71%,31000.0,8000.0,306.47, 60 months,Fully Paid,Dec-2011
4500.0,  8.90%,50700.0,4500.0,550.37, 36 months,Fully Paid,Dec-2011
18000.0, 12.42%,75000.0,18000.0,3629.24, 36 months,Fully Paid,Dec-2011
12300.0, 13.49%,30000.0,9125.24,4431.36, 60 months,Current,Dec-2011
12000.0, 13.49%,40000.0,12000.0,761.93, 36 months,Fully Paid,Dec-2011
10000.0, 13.49%,50000.0,10000.0,2077.33, 36 months,Fully Paid,Dec-2011
6000.0,  7.90%,80000.0,6000.0,633.12, 36 months,Fully Paid,Dec-2011
12000.0, 12.69%,40000.0,12000.0,2006.68, 36 months,Fully Paid,Dec-2011
12000.0,  8.90%,80000.0,8330.52,1564.56, 36 months,Charged Off,Dec-2011
7000.0, 11.71%,75000.0,7000.0,1331.94, 36 months,Fully Paid,Dec-2011
35000.0, 18.64%,85000.0,26825.0,1236.33, 60 months,Fully Paid,Dec-2011
1400.0,  7.90%,28800.0,1400.0,78.87, 36 months,Fully Paid,Dec-2011
16000.0, 13.49%,35000.0,5147.59,3678.41, 60 months,Charged Off,Dec-2011
3200.0,  9.91%,61200.0,3200.0,509.19, 36 months,Fully Paid,Dec-2011
8000.0,  7.90%,40000.0,8000.0,986.26, 36 months,Fully Paid,Dec-2011
11875.0, 12.69%,25920.0,285.76,248.58, 60 months,Charged Off,Dec-2011
5000.0,  6.03%,54000.0,5000.0,410.75, 36 months,Fully Paid,Dec-2011
1800.0,  6.62%,18000.0,1800.0,80.09, 36 months,Fully Paid,Dec-2011
35000.0,  8.90%,85000.0,35000.0,2304.76, 36 months,Fully Paid,Dec-2011
18000.0,  8.90%,78000.0,18000.0,1883.16, 36 months,Fully Paid,Dec-2011
14000.0,  7.90%,45600.0,5053.24,1077.08, 36 months,Charged Off,Dec-2011
5000.0, 12.42%,70000.0,5000.0,501.16, 36 months,Fully Paid,Dec-2011
8000.0, 15.96%,70000.0,8000.0,1993.12, 36 months,Fully Paid,Dec-2011
10000.0,  6.03%,80000.0,10000.0,840.08, 36 months,Fully Paid,Dec-2011
10000.0,  7.51%,50000.0,10000.0,1019.26, 36 months,Fully Paid,Dec-2011
12000.0, 12.42%,35000.0,12000.0,2432.92, 36 months,Fully Paid,Dec-2011
23200.0,  7.90%,65000.0,23199.99,1354.43, 36 months,Fully Paid,Dec-2011
18000.0, 15.27%,84000.0,13208.94,7422.22, 60 months,Current,Dec-2011
4800.0, 15.27%,75000.0,4800.0,1205.12, 36 months,Fully Paid,Dec-2011
7300.0, 11.71%,35000.0,7300.0,1354.58, 36 months,Fully Paid,Dec-2011
10400.0,  9.91%,40000.0,10400.0,1622.89, 36 months,Fully Paid,Dec-2011
6600.0,  9.91%,100000.0,6600.0,674.62, 36 months,Fully Paid,Dec-2011
12000.0,  8.90%,40000.0,12000.0,1715.46, 36 months,Fully Paid,Dec-2011
13250.0, 17.27%,52000.0,13250.0,2400.39, 36 months,Fully Paid,Dec-2011
12000.0, 11.71%,92500.0,12000.0,2286.72, 36 months,Fully Paid,Dec-2011
25000.0,  9.91%,61000.0,25000.0,4000.84, 36 months,Fully Paid,Dec-2011
6000.0, 10.65%,36000.0,6000.0,1033.84, 36 months,Fully Paid,Dec-2011
12000.0,  7.51%,68000.0,12000.0,554.01, 36 months,Fully Paid,Dec-2011
14400.0, 11.71%,80000.0,14400.0,1143.7, 36 months,Fully Paid,Dec-2011
10000.0, 12.42%,43000.0,10000.0,2026.3, 36 months,Fully Paid,Dec-2011
8000.0, 11.71%,150000.0,8000.0,1522.46, 36 months,Fully Paid,Dec-2011
8000.0, 16.29%,50000.0,2798.78,1436.44, 36 months,Charged Off,Dec-2011
30000.0, 12.42%,70000.0,8464.18,5679.62, 60 months,Charged Off,Dec-2011
18000.0, 16.77%,40000.0,4677.94,4651.94, 60 months,Charged Off,Dec-2011
13250.0, 11.71%,35000.0,13250.0,2525.49, 36 months,Fully Paid,Dec-2011
14000.0, 14.27%,80000.0,14000.0,3282.31, 36 months,Fully Paid,Dec-2011
20000.0, 20.30%,59000.0,6317.7,7790.84, 60 months,Charged Off,Dec-2011
10000.0, 16.29%,40000.0,10000.0,2455.59, 36 months,Fully Paid,Dec-2011
35000.0, 20.30%,85000.0,23250.0,12835.56, 60 months,Fully Paid,Dec-2011
4000.0,  6.03%,55000.0,4000.0,355.44, 36 months,Fully Paid,Dec-2011
13000.0,  9.91%,110000.0,13000.0,1957.75, 36 months,Fully Paid,Dec-2011
28000.0, 12.69%,100000.0,28000.0,5809.05, 36 months,Fully Paid,Dec-2011
10000.0, 13.49%,62000.0,10000.0,1250.9, 36 months,Fully Paid,Dec-2011
20000.0,  7.90%,45000.0,20000.0,2527.94, 36 months,Fully Paid,Dec-2011
18000.0,  9.91%,110000.0,18000.0,1205.83, 36 months,Fully Paid,Dec-2011
9000.0, 19.91%,60000.0,2327.73,2899.91, 60 months,Charged Off,Dec-2011
